bpm     pa
---    -----
file No : 10
----------
123.49     858.37
127.93     856.17
130.29     766.27
131.71     776.60
132.26     781.65
132.45     779.24
131.44     785.42
129.59     779.94
128.34     773.45
125.92     777.78
124.04     775.85
122.42     778.05
121.36     790.06
122.02     818.93
123.33     827.47
125.65     1191.77
129.05     1687.70
132.26     2240.35
137.10     2751.98
141.21     2929.23
145.32     3103.36
148.75     3215.80
152.24     3277.74
154.56     3379.49
156.25     3206.96
157.23     3153.03
157.56     3159.04
158.39     3149.52
156.90     3152.73
155.60     3122.88
154.48     3112.43
153.72     3193.46
153.89     3237.59
154.39     3353.76
154.80     3410.99
154.96     3204.65
154.48     3265.25
153.85     3112.11
153.23     3050.08
153.23     3080.55
153.39     3180.33
154.05     3238.75
154.96     3382.71
155.60     3450.88
157.07     3527.39
158.29     3532.66
158.90     3591.48
159.74     3703.43
160.71     3513.12
161.46     3626.07
162.54     3670.12
163.38     3654.55
164.75     3904.91
166.31     3887.16
167.91     3953.96
169.23     4117.99
170.09     3975.73
170.10     4080.69
170.10     3950.59
169.90     3811.01
169.58     3729.82
169.06     3537.21
168.27     3416.87
168.20     3382.34
167.91     3567.84
167.91     3666.76
167.85     3824.86
168.09     3853.88
168.02     3832.14
168.27     3894.33
168.27     3847.51
168.37     3831.64
168.27     3844.52
168.71     3819.07
169.06     3836.59
169.35     3667.63
169.40     3521.94
169.23     3325.50
168.63     3163.98
167.85     3052.92
166.67     2882.47
164.92     2876.16
163.38     2870.97
162.16     2985.76
160.22     3000.16
159.24     2956.45
159.07     2993.79
159.90     2977.76
161.81     3035.04
162.54     3120.04
162.37     3021.59
161.64     2958.34
161.54     2877.45
161.12     2777.80
160.26     2741.25
159.25     2799.61
157.89     2841.99
157.56     2803.21
159.41     2946.80
159.40     2998.71
160.26     3049.98
161.37     3204.78
162.20     3192.73
163.21     3213.94
164.23     3405.52
165.27     3334.94
165.62     3472.79
166.31     3513.46
166.31     3527.58
166.84     3744.61
167.68     3670.43
168.45     3736.71
169.58     3682.52
170.98     3569.61
172.23     3642.96
172.96     3747.65
173.68     3839.99
174.60     3942.36
175.16     3913.45
175.66     3782.28
176.20     3717.28
176.38     3749.32
176.28     3807.24
176.47     3907.86
176.28     4035.75
176.28     4003.13
176.38     4035.82
176.56     4068.42
176.74     3976.86
176.38     3816.80
175.72     3424.13
175.35     3034.17
174.97     2642.53
174.97     2478.83
174.97     2509.33
175.13     2627.85
175.48     2783.50
175.91     2849.36
176.28     3020.85
176.09     2933.00
175.16     2951.39
173.87     2924.91
172.59     2746.66
170.98     2863.29
170.45     2863.67
169.72     2888.04
169.40     2973.76
168.71     2998.55
168.09     2648.29
